date,line,passengers,ticket_income,operation_cost,maintenance_cost
2025-01-24,1号线,22926.0,93166.23,58806.42,9857.77
2025-01-24,2号线,56256.0,214569.56,131162.58,36948.85
2025-01-24,3号线,70572.0,274875.54,175008.01,35850.43
2025-01-24,4号线,29255.0,,73455.56,23793.77
2025-01-24,5号线,79284.0,313555.91,200655.33,47479.72
2025-01-24,6号线,46264.0,184086.81,135499.22,26701.78
2025-01-24,7号线,20823.0,86060.02,58269.8,8743.41
2025-01-24,8号线,33437.0,126674.66,76876.03,
2025-01-24,9号线,67364.0,284168.19,200058.27,43952.59
2025-01-24,14号线,39700.0,150511.46,118201.43,25997.42
2025-01-24,21号线,21284.0,83854.26,56831.01,10660.8
2025-01-25,1号线,20155.0,80966.36,58409.68,10331.3
2025-01-25,2号线,50840.0,212386.63,158398.25,37619.41
2025-01-25,3号线,49689.0,204689.31,160270.08,37868.31
2025-01-25,4号线,61149.0,239577.09,,
2025-01-25,5号线,76692.0,280933.73,190075.65,55392.04
2025-01-25,6号线,38612.0,166325.33,125441.47,24845.61
2025-01-25,7号线,9799.0,39076.72,,4030.49
2025-01-25,8号线,70074.0,280562.29,182325.77,39570.03
2025-01-25,9号线,44421.0,183086.39,135292.97,34428.81
2025-01-25,14号线,69524.0,273699.78,189210.55,33348.69
2025-01-25,21号线,36287.0,152177.84,115881.61,28854.31
2025-01-26,1号线,,216317.31,157811.71,21642.99
2025-01-26,2号线,59357.0,231413.44,163567.15,34360.96
2025-01-26,3号线,24611.0,97626.61,64886.61,14827.44
2025-01-26,4号线,73614.0,292299.51,190223.58,36446.13
2025-01-26,5号线,60866.0,243141.24,159736.04,25211.0
2025-01-26,6号线,36499.0,148513.72,90089.93,19976.15
2025-01-26,7号线,61905.0,242401.43,169169.67,48132.45
2025-01-26,8号线,82160.0,340995.76,220804.14,58931.45
2025-01-26,9号线,80636.0,322191.12,219014.21,58523.82
2025-01-26,14号线,31058.0,129966.32,82828.01,
2025-01-26,21号线,53251.0,205737.35,152704.42,37228.2
2025-01-27,1号线,19136.0,78356.53,57841.82,10865.98
2025-01-27,2号线,20291.0,77570.41,48302.69,14929.93
2025-01-27,3号线,76465.0,287036.39,219136.34,44639.92
2025-01-27,4号线,13254.0,53420.04,34068.17,6831.74
