date,line,passengers,ticket_income,other_income,total_revenue,fixed_cost,variable_cost,maintenance_cost,total_cost,net_profit,punctuality_rate,energy_consumption,average_ticket_price,day_of_week,month
2025-01-24,1号线,22926.0,93166.23,12728.15,105894.38,30592.45,28213.97,9857.77,68664.19,37230.19,0.951,44817.23,4.06,4,1
2025-01-24,2号线,73117.0,,42180.68,328392.9,86906.76,107709.59,29956.85,224573.2,103819.7,0.9809,78505.21,3.91,4,1
2025-01-24,3号线,72621.0,292095.06,16504.88,308599.94,124295.06,86454.15,34190.43,244939.64,63660.3,0.9904,69492.53,4.02,4,1
2025-01-24,4号线,72294.0,,37052.36,314973.89,88991.3,115740.34,44745.27,249476.92,65496.97,0.9591,118059.15,3.84,4,1
2025-01-24,5号线,97826.0,414657.8,52874.38,467532.18,155279.0,108845.95,81670.36,345795.31,121736.87,0.9799,184187.9,4.24,4,1
2025-01-24,6号线,45311.0,166895.87,14298.86,181194.73,49813.3,,30520.87,139715.8,41478.93,0.957,77178.02,3.68,4,1
2025-01-24,7号线,62417.0,260750.12,14968.22,275718.34,91729.13,102738.68,,240653.71,35064.63,0.9932,89565.1,4.18,4,1
2025-01-24,8号线,61149.0,239577.09,,266830.37,92002.51,67325.04,41437.4,200764.95,66065.41,0.956,95995.81,3.92,4,1
2025-01-24,9号线,57110.0,237397.23,28740.8,266138.03,65267.19,89329.13,24699.6,179295.92,86842.1,0.9601,105290.59,4.16,4,1
2025-01-24,14号线,70074.0,280562.29,35226.03,,81273.47,101052.3,39570.03,221895.8,93892.52,0.9645,51983.13,4.0,4,1
2025-01-24,21号线,45724.0,191058.92,13726.45,204785.36,57351.74,61314.73,27828.39,146494.87,58290.5,0.9662,31235.52,,4,1
2025-01-25,1号线,29731.0,116975.66,15417.56,132393.22,43207.31,32310.66,16693.69,92211.65,40181.57,0.8766,33480.57,3.93,5,1
2025-01-25,2号线,12240.0,51199.64,3680.05,54879.68,16995.83,16223.78,,39201.22,15678.47,0.9532,10781.89,4.18,5,1
2025-01-25,3号线,69550.0,292179.37,22403.76,314583.13,109516.34,74444.87,58369.86,242331.06,72252.06,0.9517,70774.56,4.2,5,1
2025-01-25,4号线,61905.0,242401.43,17987.53,260388.96,90408.86,78760.81,48132.45,217302.12,43086.84,0.9619,98572.85,3.92,5,1
2025-01-25,5号线,80636.0,322191.12,41831.53,364022.65,94207.54,,58523.82,277538.04,86484.62,0.9848,144139.93,4.0,5,1
2025-01-25,6号线,10824.0,43444.43,5173.96,48618.39,15118.77,16553.72,5101.97,36774.45,11843.93,0.9569,10949.55,4.01,5,1
2025-01-25,7号线,,187045.98,12624.76,199670.74,82460.72,55795.6,22979.53,161235.85,38434.88,0.963,100514.79,3.71,5,1
2025-01-25,8号线,31735.0,131902.23,,148072.86,51038.45,37046.65,17796.38,105881.47,42191.39,0.989,,4.16,5,1
2025-01-25,9号线,24827.0,108189.08,15943.43,124132.52,33331.01,39637.83,20990.13,93958.96,,,29113.04,4.36,5,1
2025-01-25,14号线,64522.0,245770.79,30635.12,276405.9,84324.17,74800.08,32574.45,191698.7,84707.2,0.9829,87263.61,,5,1
2025-01-25,21号线,44117.0,182824.26,18040.04,200864.31,76292.71,54970.39,36178.96,167442.06,33422.24,0.9675,64748.54,4.14,5,1
2025-01-26,1号线,42787.0,170852.52,8958.07,179810.59,67299.79,59898.27,21882.32,149080.38,30730.21,0.997,82617.11,3.99,6,1
2025-01-26,2号线,47724.0,195731.16,20605.89,216337.05,79611.35,75136.51,26046.93,180794.8,35542.25,0.9538,45745.63,4.1,6,1
2025-01-26,3号线,15922.0,58118.26,7812.33,65930.6,22973.06,16229.89,8105.7,47308.65,18621.95,0.9604,23989.92,3.65,6,1
2025-01-26,4号线,28233.0,106478.1,12745.6,119223.7,44629.4,37941.67,18535.37,101106.44,18117.26,0.9647,48392.54,3.77,6,1
2025-01-26,5号线,64134.0,305954.22,36774.68,,129960.12,102460.76,50481.34,,59826.67,0.9669,68198.46,4.77,6,1
2025-01-26,6号线,18449.0,78228.85,10474.32,,,21123.39,15503.71,,23836.41,0.9519,,4.24,6,1
2025-01-26,7号线,25500.0,96503.5,10836.29,107339.79,30347.44,42416.07,11733.1,,22843.17,0.9766,33429.29,3.78,6,1
2025-01-26,8号线,49200.0,192015.62,14417.7,206433.32,57604.34,74253.58,33488.34,165346.27,41087.05,0.9714,75411.29,,6,1
2025-01-26,9号线,75732.0,315525.39,21546.16,337071.55,119994.63,84452.41,34514.48,238961.51,98110.03,0.9758,112512.53,4.17,6,1
2025-01-26,14号线,23386.0,102167.43,12851.09,115018.52,26736.02,39626.44,13853.62,80216.09,34802.43,0.9523,13121.73,4.37,6,1
2025-01-26,21号线,75324.0,310333.32,35681.31,346014.63,85073.89,122620.06,,253147.66,92866.97,0.9943,67139.33,4.12,6,1
2025-01-27,1号线,75858.0,339054.87,22477.11,361531.98,108295.85,153216.48,,317751.15,43780.84,0.9513,104582.65,4.47,0,1
2025-01-27,2号线,75198.0,316320.58,41476.09,357796.67,127530.08,98535.82,35696.79,261762.7,96033.97,0.991,111084.53,,0,1
2025-01-27,3号线,29267.0,118283.16,6189.43,,44196.04,34319.74,21821.77,100337.55,24135.03,0.9559,45220.61,4.04,0,1
2025-01-27,4号线,37711.0,150250.19,16054.54,166304.73,54927.31,51689.38,21387.68,128004.37,38300.36,0.9564,32998.06,3.98,0,1
2025-01-27,5号线,47368.0,187556.51,23460.9,211017.41,79735.25,64998.84,26801.71,171535.8,39481.61,0.9951,59583.19,3.96,0,1
2025-01-27,6号线,48158.0,184515.11,26912.29,211427.41,65141.96,49256.85,19438.4,133837.21,77590.2,0.9978,72966.83,3.83,0,1
2025-01-27,7号线,50397.0,212324.85,17594.61,229919.46,78271.72,68166.41,27458.08,173896.21,56023.24,0.9896,84890.08,4.21,0,1
2025-01-27,8号线,37266.0,152079.44,20332.47,172411.91,69211.98,51498.09,25671.47,146381.54,26030.37,0.9713,31074.8,4.08,0,1
2025-01-27,9号线,76929.0,321140.75,47742.05,368882.81,93978.07,103931.26,34838.56,232747.89,136134.91,0.9906,147770.83,4.17,0,1
2025-01-27,14号线,38872.0,163802.55,14381.66,178184.21,65723.76,55758.15,24270.08,145751.99,,0.9665,44768.02,4.21,0,1
2025-01-27,21号线,16877.0,61044.42,8074.9,69119.32,25067.34,20605.78,10787.74,56460.86,12658.46,0.9619,18570.34,3.62,0,1
2025-01-28,1号线,38234.0,146481.28,21648.48,168129.75,51463.51,49208.26,26397.53,127069.3,41060.46,0.9522,72146.22,3.83,1,1
2025-01-28,2号线,34408.0,130294.0,9339.59,139633.59,36777.13,43365.01,15195.09,95337.22,44296.37,0.9848,37033.42,3.79,1,1
2025-01-28,3号线,62692.0,240633.23,23189.79,263823.02,74238.55,83490.81,28590.14,186319.51,77503.51,0.9539,122976.14,3.84,1,1
2025-01-28,4号线,28666.0,114380.32,12613.65,126993.98,34077.12,40950.96,16141.43,91169.51,35824.47,0.9538,,3.99,1,1
2025-01-28,5号线,71088.0,305346.54,,347058.83,85387.77,123361.97,59015.2,267764.93,79293.9,0.9688,121974.92,4.3,1,1
2025-01-28,6号线,17281.0,74087.74,4174.93,78262.67,23113.37,33625.45,11624.97,,9898.88,0.9507,10593.92,4.29,1,1
2025-01-28,7号线,22774.0,91309.99,12323.63,103633.62,30936.65,37892.59,17757.65,86586.89,17046.72,0.9565,43978.34,4.01,1,1
2025-01-28,8号线,28002.0,110563.64,8498.72,119062.37,33599.61,49477.89,11574.87,94652.37,24410.0,0.9738,48921.1,3.95,1,1
2025-01-28,9号线,42763.0,180915.24,16345.38,197260.63,54991.69,73853.9,33951.52,162797.12,34463.51,0.9878,61170.95,4.23,1,1
2025-01-28,14号线,48404.0,194095.9,20473.54,214569.44,58574.41,81488.6,31766.6,171829.61,42739.83,0.9774,56940.8,4.01,1,1
2025-01-28,21号线,60838.0,226559.48,14660.06,241219.54,102437.02,72574.0,44168.24,219179.26,22040.28,0.9629,72318.35,3.72,1,1
2025-01-29,1号线,21588.0,83751.7,8687.26,92438.96,29501.92,30458.43,11235.82,71196.17,21242.78,0.97,33385.87,,2,1
2025-01-29,2号线,64736.0,245230.15,28632.04,273862.19,83035.62,,36145.98,227267.99,46594.2,0.952,48772.27,3.79,2,1
2025-01-29,3号线,46905.0,183036.07,25519.2,208555.27,55085.79,74299.6,24819.53,154204.93,54350.34,0.9661,29945.83,3.9,2,1
2025-01-29,4号线,30294.0,122472.46,6871.66,129344.12,43206.64,51674.7,23525.4,118406.74,10937.38,0.9874,23531.82,4.04,2,1
2025-01-29,5号线,10018.0,35459.87,3413.14,38873.01,14100.33,11560.24,4854.15,30514.72,8358.29,,15728.5,3.54,2,1
2025-01-29,6号线,29352.0,121230.01,10354.82,131584.83,35227.2,38249.63,22636.25,96113.08,35471.75,0.9869,22701.59,4.13,2,1
2025-01-29,7号线,9888.0,38257.91,5319.87,43577.78,13206.89,12253.73,4283.98,29744.6,13833.18,0.9895,,3.87,2,1
2025-01-29,8号线,,174616.05,18587.15,193203.21,59111.44,65136.34,27703.46,151951.24,41251.97,0.995,59944.95,4.11,2,1
2025-01-29,9号线,28613.0,113340.38,9807.99,123148.36,33921.29,34253.72,13887.97,82062.98,41085.38,0.9544,48893.82,3.96,2,1
2025-01-29,14号线,40432.0,162902.18,16139.51,179041.69,53321.92,44592.06,32174.27,130088.26,,0.9859,52664.91,4.03,2,1
2025-01-29,21号线,54079.0,221665.13,15505.63,237170.76,96268.39,79644.79,37925.85,213839.04,23331.73,0.9854,89320.62,4.1,2,1
2025-01-30,1号线,46548.0,188684.58,10412.06,199096.64,61390.77,69976.72,28917.6,160285.09,38811.55,0.9532,92395.0,4.05,3,1
2025-01-30,2号线,14366.0,59648.35,6535.3,66183.66,21709.89,22209.23,10499.47,54418.58,11765.07,0.9674,27213.42,,3,1
2025-01-30,3号线,22596.0,90787.99,11267.88,,29742.14,28021.41,9682.51,67446.06,34609.82,0.957,38252.79,4.02,3,1
2025-01-30,4号线,39232.0,154424.55,15798.64,170223.19,55580.08,62232.71,25714.73,143527.53,26695.66,0.9696,67671.24,3.94,3,1
2025-01-30,5号线,36629.0,130177.05,13053.12,143230.17,38372.95,47579.77,22749.86,108702.59,34527.58,0.9692,48179.2,3.55,3,1
2025-01-30,6号线,47579.0,175752.27,21627.18,197379.45,64983.12,55636.65,23424.54,144044.31,53335.14,0.9939,59147.14,3.69,3,1
2025-01-30,7号线,35690.0,144531.8,10818.05,155349.85,49996.59,41106.85,18958.55,110062.0,45287.84,0.9785,58663.23,4.05,3,1
2025-01-30,8号线,54340.0,207064.29,22859.03,,70027.37,69899.29,30169.27,170095.93,59827.39,,60503.94,3.81,3,1
2025-01-30,9号线,14952.0,63861.9,4801.13,68663.03,22134.23,25046.28,9852.13,57032.64,11630.39,0.9954,,4.27,3,1
2025-01-30,14号线,,74228.3,4744.05,,22548.38,31117.94,14191.36,67857.68,11114.67,0.9863,,,3,1
2025-01-30,21号线,58810.0,242182.81,15803.37,257986.18,97895.03,92097.35,41346.38,231338.77,26647.41,0.9712,94370.43,4.12,3,1
2025-01-31,1号线,52538.0,205210.47,27446.71,232657.18,60598.3,69321.29,24344.55,154264.14,78393.04,0.9614,74175.33,3.91,4,1
2025-01-31,2号线,21351.0,83581.13,6966.48,90547.61,30490.01,33079.35,8396.83,71966.19,18581.43,0.996,21767.75,3.91,4,1
2025-01-31,3号线,18039.0,78177.5,5010.06,83187.56,21945.95,,11354.81,61773.11,21414.44,0.9709,33773.86,4.33,4,1
2025-01-31,4号线,55865.0,236047.11,16004.84,252051.95,84240.35,58006.1,39267.32,181513.77,70538.19,0.9707,35084.59,4.23,4,1
